id,loan_amnt,term,int_rate,grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,zip_code,addr_state,dti,delinq_2yrs,inq_last_6mths,pub_rec,acc_now_delinq,avg_cur_bal,chargeoff_within_12_mths,delinq_amnt,num_accts_ever_120_pd,num_actv_bc_tl,num_bc_sats,pub_rec_bankruptcies
40072,8000, 36 months,11.99%,B,,n/a,RENT,55000,Verified,Fully Paid,debt_consolidation,112xx,NY,16.52,0,0,1,0,7993,0,0,1,2,5,0
40073,18550, 60 months,23.70%,F,Store Manager,9 years,MORTGAGE,55000,Source Verified,Fully Paid,credit_card,330xx,FL,16.49,0,3,0,0,9374,0,0,0,9,9,0
40074,35000, 36 months,23.10%,E,Logistics Engineer,< 1 year,RENT,145000,Verified,Fully Paid,debt_consolidation,357xx,AL,11.4,0,2,0,0,2688,0,0,3,5,5,0
40075,35000, 36 months,16.20%,C,Systems and Network Engineer,9 years,MORTGAGE,114000,Verified,Fully Paid,debt_consolidation,805xx,CO,17.46,0,0,0,0,33516,0,0,0,2,2,0
40076,10000, 60 months,12.99%,B,Tax Pro,10+ years,MORTGAGE,38000,Source Verified,Fully Paid,debt_consolidation,631xx,MO,19.99,1,1,0,0,7189,0,0,0,4,8,0
40077,5000, 36 months,18.55%,D,,8 years,MORTGAGE,100000,Source Verified,Fully Paid,vacation,774xx,TX,19.89,1,2,0,0,8175,0,0,1,7,9,0
40078,4850, 36 months,14.30%,C,bussiness tech support ,6 years,MORTGAGE,38000,Source Verified,Fully Paid,credit_card,800xx,CO,15.03,0,1,1,0,15931,0,0,1,1,1,1
40079,7200, 36 months,10.99%,B,Senior teller,5 years,MORTGAGE,40000,Source Verified,Charged Off,debt_consolidation,074xx,NJ,17.31,0,0,1,0,1777,0,0,0,3,4,1
40080,7000, 36 months,19.52%,D,Attorney,10+ years,OWN,89000,Source Verified,Fully Paid,debt_consolidation,113xx,NY,25.44,1,1,0,0,8271,0,0,0,11,11,0
40081,8325, 36 months,17.10%,C,Maintenance ,10+ years,RENT,34000,Not Verified,Fully Paid,debt_consolidation,447xx,OH,14.01,1,0,0,0,2266,0,0,0,4,4,0
40082,5400, 36 months,14.30%,C,General Manager,10+ years,MORTGAGE,40000,Verified,Fully Paid,debt_consolidation,609xx,IL,17.88,0,1,1,0,15598,0,0,0,3,3,1
40083,3300, 36 months,19.20%,D,Project Engineer,3 years,RENT,57000,Verified,Fully Paid,debt_consolidation,908xx,CA,29.41,0,1,0,0,4393,0,0,0,2,3,0
40084,4000, 36 months,16.20%,C,Foreman,8 years,MORTGAGE,60000,Verified,Fully Paid,car,935xx,CA,16.66,1,0,0,0,4883,0,0,0,3,3,0
40085,16850, 60 months,15.61%,C,Pharmacy Technician,10+ years,MORTGAGE,63562.12,Source Verified,Fully Paid,debt_consolidation,337xx,FL,14.69,1,0,0,0,24547,0,0,2,2,2,0
40086,16000, 36 months,9.99%,B,Team Leader,10+ years,RENT,47000,Not Verified,Fully Paid,debt_consolidation,327xx,FL,22.93,0,0,0,0,3398,0,0,1,4,6,0
40087,13600, 36 months,17.76%,D,Patient acct rep,10+ years,RENT,42000,Verified,Fully Paid,debt_consolidation,761xx,TX,27.14,0,1,1,0,7067,0,0,0,3,3,1
40088,7200, 36 months,19.52%,D,Secretary,2 years,RENT,25000,Not Verified,Fully Paid,moving,604xx,IL,9.17,0,1,0,0,782,0,0,0,3,3,0
40089,12000, 60 months,20.20%,D,Account Manager,3 years,MORTGAGE,58000,Verified,Fully Paid,debt_consolidation,483xx,MI,12.66,0,2,0,0,35804,0,0,0,2,2,0
40090,15000, 36 months,21.00%,E,Forklift operater,7 years,RENT,53000,Source Verified,Fully Paid,debt_consolidation,781xx,TX,33.76,2,1,0,0,4021,0,0,0,5,5,0
40091,20000, 60 months,9.99%,B,Assistant Managing Clerk  ,10+ years,RENT,80000,Verified,Fully Paid,debt_consolidation,112xx,NY,5.09,0,0,0,0,1355,0,0,0,3,3,0
40092,12000, 36 months,12.99%,B,Deputy General Manager,1 year,MORTGAGE,99400,Verified,Fully Paid,credit_card,290xx,SC,14.05,0,0,0,0,13699,0,0,0,6,6,0
40093,14000, 60 months,24.08%,F,underwriter,10+ years,MORTGAGE,48500,Source Verified,Fully Paid,debt_consolidation,761xx,TX,17.69,0,3,0,0,2646,0,0,1,2,2,0
40094,3625, 36 months,20.20%,D,food service,2 years,RENT,30000,Not Verified,Charged Off,debt_consolidation,932xx,CA,19.32,0,1,0,0,782,0,0,0,6,6,0
40095,14025, 36 months,9.99%,B,Registered Nurse Case Manager,5 years,MORTGAGE,72500,Verified,Fully Paid,debt_consolidation,347xx,FL,24.27,0,2,0,0,18622,0,0,3,3,3,0
40096,5500, 36 months,23.10%,E,journeymen operator,5 years,RENT,62500,Not Verified,Charged Off,debt_consolidation,080xx,NJ,8.68,0,2,0,0,2705,0,0,0,3,3,0
40097,35000, 60 months,25.83%,G,VP Operations,8 years,MORTGAGE,158000,Verified,Fully Paid,debt_consolidation,737xx,OK,31.11,1,1,0,0,10232,0,0,0,4,4,0
40098,28000, 60 months,17.10%,C,State Trooper,5 years,RENT,100000,Verified,Charged Off,debt_consolidation,086xx,NJ,20.57,0,0,0,0,4730,0,0,0,5,8,0
40099,9075, 36 months,12.99%,B,Nurse,2 years,MORTGAGE,33000,Source Verified,Charged Off,debt_consolidation,306xx,GA,20,0,2,0,0,18499,0,0,0,4,4,0
40100,15000, 36 months,12.99%,B,collection manager,8 years,RENT,72000,Not Verified,Fully Paid,debt_consolidation,920xx,CA,10.75,0,0,0,0,1673,0,0,0,5,5,0
40101,21000, 36 months,10.99%,B,Payroll/clerk,3 years,OWN,59000,Not Verified,Fully Paid,debt_consolidation,799xx,TX,15.7,0,0,0,0,5483,0,0,0,4,4,0
40102,15450, 60 months,12.99%,B,Corporate Communications,6 years,RENT,72400,Verified,Fully Paid,credit_card,471xx,IN,11.87,0,2,0,0,2047,0,0,0,5,8,0
40103,12000, 36 months,8.60%,A,Inventory Specialist,8 years,MORTGAGE,110000,Source Verified,Fully Paid,credit_card,553xx,MN,8.78,0,2,0,0,37836,0,0,0,4,4,0
40104,10000, 36 months,10.99%,B,,10+ years,MORTGAGE,60000,Source Verified,Charged Off,credit_card,328xx,FL,14.64,0,0,0,0,2746,0,0,3,3,4,0
40105,20000, 36 months,12.99%,B,Registered Nurse,10+ years,MORTGAGE,60000,Source Verified,Fully Paid,debt_consolidation,327xx,FL,18.94,1,0,0,0,30403,0,0,1,5,6,0
40106,10000, 36 months,10.99%,B,Occupational Therapist,3 years,RENT,96000,Not Verified,Fully Paid,credit_card,785xx,TX,7.58,1,0,0,0,2153,0,0,0,4,5,0
40107,12500, 36 months,9.99%,B,librarian,10+ years,MORTGAGE,40000,Source Verified,Fully Paid,debt_consolidation,366xx,AL,17.05,1,0,0,0,3019,0,0,0,3,5,0
40108,20000, 60 months,12.99%,B,group leader,2 years,MORTGAGE,67000,Verified,Fully Paid,debt_consolidation,531xx,WI,18.79,0,0,0,0,28765,0,0,0,6,7,0
40109,10000, 36 months,19.52%,D,area leader,10+ years,MORTGAGE,86000,Not Verified,Fully Paid,debt_consolidation,371xx,TN,13.3,0,3,0,0,2766,0,0,0,7,9,0
40110,4200, 36 months,18.55%,D,sr. painter/plaster,10+ years,RENT,60000,Verified,Fully Paid,other,104xx,NY,29.6,1,1,0,0,4383,0,0,0,5,5,0
40111,20000, 60 months,15.61%,C,Applications Analyst Ii,10+ years,MORTGAGE,54000,Verified,Fully Paid,debt_consolidation,290xx,SC,29.53,0,0,0,0,11552,0,0,0,5,5,0
40112,13925, 60 months,18.55%,D,Executive Assistant,7 years,MORTGAGE,46000,Verified,Fully Paid,credit_card,144xx,NY,10.41,0,1,1,0,6956,0,0,2,3,4,1
40113,6000, 36 months,10.99%,B,mechanic,9 years,MORTGAGE,55000,Source Verified,Fully Paid,credit_card,492xx,MI,11.45,0,0,0,0,34403,0,0,0,3,3,0
40114,35000, 60 months,23.40%,E,,10+ years,MORTGAGE,170796,Verified,Fully Paid,home_improvement,077xx,NJ,7.51,0,2,0,0,53924,0,0,1,2,3,0
40115,8000, 36 months,16.20%,C,RN,7 years,RENT,40000,Source Verified,Fully Paid,debt_consolidation,441xx,OH,24.12,1,1,0,0,2825,0,0,1,2,3,0
40116,12600, 60 months,21.00%,E,Licensed Funeral Director,4 years,MORTGAGE,43500,Verified,Fully Paid,debt_consolidation,427xx,KY,25.66,3,0,0,0,10249,0,0,0,3,3,0
40117,21100, 60 months,11.99%,B,Teacher,10+ years,MORTGAGE,60000,Source Verified,Fully Paid,debt_consolidation,308xx,GA,13.38,0,1,0,0,17151,0,0,0,7,11,0
40118,6500, 36 months,15.61%,C,Accounts Payable,3 years,RENT,24500,Verified,Fully Paid,credit_card,070xx,NJ,32.33,0,1,0,0,2498,0,0,0,4,5,0
40119,9975, 36 months,9.99%,B,Truck Driver,3 years,MORTGAGE,45000,Not Verified,Fully Paid,credit_card,179xx,PA,21.55,2,0,0,0,7032,0,0,0,8,10,0
40120,16000, 60 months,24.50%,F,material handler,9 years,RENT,66000,Source Verified,Charged Off,other,190xx,PA,12.92,0,1,0,0,3396,0,0,0,2,2,0
40121,3000, 36 months,17.10%,C,Operations Specialist,< 1 year,MORTGAGE,30000,Not Verified,Fully Paid,credit_card,441xx,OH,28.12,0,1,1,0,20171,0,0,1,2,2,1
40122,6000, 36 months,10.99%,B,Payroll Specialist,2 years,MORTGAGE,32000,Source Verified,Fully Paid,debt_consolidation,336xx,FL,13.35,1,1,0,0,14137,0,0,1,6,7,0
40123,5000, 36 months,19.52%,D,,n/a,MORTGAGE,54000,Verified,Fully Paid,debt_consolidation,935xx,CA,8.56,0,5,0,0,1518,0,0,0,5,6,0
40124,12000, 36 months,9.99%,B,Shop manager,4 years,MORTGAGE,54000,Not Verified,Fully Paid,debt_consolidation,474xx,IN,12.71,0,0,0,0,14788,0,0,0,3,5,0
40125,14800, 60 months,15.61%,C,teacher,10+ years,MORTGAGE,80000,Source Verified,Charged Off,debt_consolidation,402xx,KY,14.96,0,1,0,0,25044,0,0,0,4,4,0
40126,27900, 36 months,19.52%,D,General Manager,10+ years,MORTGAGE,63000,Verified,Charged Off,credit_card,640xx,MO,15.66,0,2,0,0,4964,0,0,0,2,2,0
40127,4500, 36 months,19.52%,D,electrician,1 year,RENT,25000,Not Verified,Charged Off,debt_consolidation,630xx,MO,24.82,0,1,0,0,3158,0,0,0,4,4,0
40128,3500, 36 months,15.10%,C,SEM/FIB Technician,2 years,RENT,15600,Source Verified,Fully Paid,credit_card,841xx,UT,23.94,0,0,0,0,5487,0,0,0,4,5,0
40129,12000, 36 months,10.99%,B,PET/CT Technologist,4 years,RENT,60000,Source Verified,Fully Paid,debt_consolidation,558xx,MN,17.24,0,0,0,0,5189,0,0,0,2,2,0
40130,35000, 36 months,17.10%,C,Auditor,7 years,MORTGAGE,147000,Verified,Charged Off,debt_consolidation,431xx,OH,13.35,0,0,0,0,10302,0,0,0,7,9,0
40131,10000, 36 months,19.20%,D,,n/a,RENT,69000,Verified,Fully Paid,credit_card,550xx,MN,17.46,0,4,0,0,4351,0,0,0,5,6,0
40132,17000, 36 months,13.67%,B,Mechanic,3 years,OWN,55000,Not Verified,Charged Off,debt_consolidation,080xx,NJ,18.33,0,0,0,0,1401,0,0,0,4,5,0
40133,16000, 36 months,13.67%,B,Production Print Manager,10+ years,MORTGAGE,86000,Source Verified,Fully Paid,debt_consolidation,441xx,OH,16.23,0,4,0,0,36840,0,0,0,2,2,0
40134,21100, 60 months,25.99%,G,Bakery manager,9 years,RENT,66000,Verified,Fully Paid,other,336xx,FL,33.09,2,1,0,0,5033,0,0,0,4,5,0
40135,15000, 60 months,14.30%,C,Teacher,10+ years,MORTGAGE,38000,Verified,Fully Paid,debt_consolidation,245xx,VA,17.43,1,0,0,0,13730,0,0,0,2,2,0
40136,35000, 60 months,24.50%,F,Environmental ComplianceSpecialist,1 year,RENT,78853,Verified,Charged Off,debt_consolidation,902xx,CA,32.82,1,3,0,0,13965,0,0,2,5,6,0
40137,9500, 36 months,10.99%,B,Service manager,6 years,MORTGAGE,100000,Verified,Fully Paid,credit_card,064xx,CT,22.24,0,0,0,0,33073,0,0,0,7,7,0
40138,25000, 36 months,14.30%,C,Attorney,7 years,RENT,100000,Verified,Fully Paid,credit_card,432xx,OH,8.9,3,0,0,0,3966,0,0,0,2,2,0
40139,10000, 36 months,13.67%,B,Group Leader,10+ years,OWN,31200,Verified,Fully Paid,debt_consolidation,308xx,GA,32.35,0,0,1,0,3307,0,0,1,1,3,1
40140,18825, 36 months,20.20%,D,Shop Forman,2 years,MORTGAGE,58000,Source Verified,Fully Paid,debt_consolidation,604xx,IL,19.76,0,2,0,0,5009,0,0,0,1,1,0
40141,15000, 36 months,7.62%,A,Senior Unix System Administrator,4 years,MORTGAGE,90000,Not Verified,Fully Paid,credit_card,970xx,OR,9.41,0,0,0,0,49852,0,0,0,3,4,0
40142,5000, 36 months,19.52%,D,Administrative Officer,10+ years,RENT,82940,Source Verified,Fully Paid,moving,606xx,IL,8.7,1,0,1,0,1608,0,0,0,2,2,1
40143,5000, 36 months,13.67%,B,Bookkeeper,4 years,OWN,36000,Verified,Fully Paid,credit_card,330xx,FL,20.57,0,1,1,0,2567,0,0,1,5,5,1
40144,25450, 60 months,16.20%,C,Client Support/Consultant,1 year,MORTGAGE,72000,Source Verified,Charged Off,debt_consolidation,762xx,TX,15.13,1,2,0,0,25055,0,0,0,4,4,0
40145,3250, 36 months,19.52%,D,District Manager,< 1 year,RENT,25000,Verified,Charged Off,other,483xx,MI,26.11,1,0,0,0,3178,0,0,0,2,2,0
40146,15000, 36 months,12.99%,B,Transaction services supervisor,3 years,MORTGAGE,68500,Source Verified,Fully Paid,credit_card,303xx,GA,25.7,0,0,0,0,6921,0,0,0,5,5,0
40147,10050, 36 months,9.25%,A,Consultant,< 1 year,MORTGAGE,87000,Verified,Fully Paid,credit_card,554xx,MN,29.41,1,0,0,0,32872,0,0,0,6,7,0
40148,28000, 60 months,16.20%,C,GENERAL MANAGER,10+ years,MORTGAGE,108000,Source Verified,Fully Paid,credit_card,243xx,VA,15.5,0,3,0,0,25313,0,0,0,9,10,0
40149,13000, 36 months,11.99%,B,Health Technician Supervisor,10+ years,MORTGAGE,42000,Source Verified,Fully Paid,debt_consolidation,405xx,KY,30.14,0,0,0,0,12882,0,0,0,2,2,0
